dover|Thu Feb  6 20:44:01 2020|1443310620061284:Steve Jobs|0|12|4|8|17 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:6 |isEqual:0:2:0:3 |byteSwap:0:2:0:0 |oddBits:0:2:0:0 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Thu Feb  6 23:21:28 2020|2950535602960844:Tony Stark|0|16|6|10|16 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:0:2:0:0 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Thu Feb  6 23:33:52 2020|2802808643607609:Bruce's Banner|0|34|16|18|41 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Fri Feb  7 11:01:31 2020|2802808643607609:BBQ Chicken|0|39|19|20|48 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:3:3:2:6 |addOK:0:3:0:1 |bitMask:0:3:0:0 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Fri Feb  7 11:16:32 2020|2802808643607609:BBQ Chicken|0|39|19|20|48 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:3:3:2:6 |addOK:0:3:0:1 |bitMask:0:3:0:0 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Fri Feb  7 12:37:25 2020|1443310620061284:Steve Jobs|0|16|6|10|20 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:6 |isEqual:0:2:0:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Fri Feb  7 20:35:00 2020|9536458672467547:MosesMalone|0|24|10|14|22 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Fri Feb  7 22:40:51 2020|2802808643607609:KarlMalone|0|39|19|20|53 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:3:3:2:6 |addOK:0:3:0:1 |bitMask:0:3:0:5 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Fri Feb  7 23:24:37 2020|2802808643607609:KarlMalone|0|44|22|22|54 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:3:3:2:6 |addOK:0:3:0:1 |bitMask:3:3:2:6 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Sun Feb  9 13:03:20 2020|9536458672467547:Moe|0|29|13|16|31 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:3:3:2:9 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Sun Feb  9 22:05:57 2020|1443310620061284:Steve Jobs|0|25|11|14|36 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:5 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:3:3:2:13 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Sun Feb  9 22:10:53 2020|1443310620061284:Steve Jobs|0|30|14|16|42 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:5 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:3:3:2:13 |bitMask:3:3:2:6 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Mon Feb 10 19:35:14 2020|2950535602960844:Tony Stark|0|24|10|14|33 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:15 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Mon Feb 10 19:52:08 2020|2950535602960844:Tony Stark|0|28|12|16|37 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:15 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Mon Feb 10 22:11:09 2020|2950535602960844:Tony Stark|0|33|15|18|44 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:15 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:3:3:2:7 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Tue Feb 11 09:16:00 2020|3707364762783764:Tyson|0|43|21|22|58 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:16 |oddBits:2:2:2:4 |floatNegate:2:2:2:8 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:3:3:2:6 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:4:4:2:6 |floatScale2:0:4:0:0
dover|Tue Feb 11 09:24:07 2020|3707364762783764:Tyson|0|43|21|22|65 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:16 |oddBits:2:2:2:4 |floatNegate:2:2:2:8 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:3:3:2:6 |addOK:0:3:0:0 |bitMask:0:3:0:7 |logicalNeg:4:4:2:6 |floatScale2:0:4:0:0
dover|Tue Feb 11 09:44:39 2020|1261876961985779:Hacker|0|20|8|12|18 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:0:2:0:0 |isAsciiDigit:0:3:0:0 |logicalShift:0:3:0:0 |addOK:0:3:0:0 |bitMask:0:3:0:0 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Tue Feb 11 10:17:05 2020|9536458672467547:The Teacher|0|34|16|18|44 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:0 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:3:3:2:9 |logicalShift:0:3:0:1 |addOK:3:3:2:11 |bitMask:0:3:0:0 |logicalNeg:0:4:0:1 |floatScale2:0:4:0:0
dover|Tue Feb 11 11:17:04 2020|9536458672467547:The Student|0|39|19|20|69 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:0:2:0:13 |oddBits:2:2:2:4 |floatNegate:0:2:0:0 |sign:2:2:2:4 |isAsciiDigit:3:3:2:9 |logicalShift:3:3:2:7 |addOK:3:3:2:11 |bitMask:0:3:0:6 |logicalNeg:0:4:0:1 |floatScale2:0:4:0:0
