houser-2015.campus.bowdoin.edu|Tue Sep 17 00:20:47 2019|yxi:John Doe|0|23|9|14|24 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Tue Sep 17 22:22:52 2019|lfriel:jane doe|0|19|7|12|32 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:2:2:2:15 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Tue Sep 17 22:38:55 2019|nwattana:Monday|0|27|11|16|47 |maxVal:1:1:2:2 |negCheck:1:1:2:3 |lsbCopy:1:1:2:3 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:5 |bitFit:0:2:0:0 |byteSwitch:2:2:2:19 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Tue Sep 17 22:51:46 2019|nwattana:Monday|0|27|11|16|45 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:5 |bitFit:0:2:0:0 |byteSwitch:2:2:2:19 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Tue Sep 17 23:01:06 2019|nwattana:Monday|0|27|11|16|43 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:2:2:2:19 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Tue Sep 17 23:20:26 2019|nwattana:Monday|0|27|11|16|39 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:2:2:2:15 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Wed Sep 18 07:53:49 2019|nwattana:Monday|0|32|14|18|51 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:1 |byteSwitch:2:2:2:15 |addOverflow:3:3:2:11 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Wed Sep 18 08:17:27 2019|nwattana:Monday|0|37|17|20|57 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:1 |byteSwitch:2:2:2:15 |addOverflow:3:3:2:11 |shiftLogical:3:3:2:6 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Wed Sep 18 21:43:57 2019|gslangan:Puzzler|0|15|5|10|17 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Thu Sep 19 08:29:34 2019|saharder:AngryPenguin|0|15|5|10|19 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:2 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
